label,area,y,x,mean_intensity,frame,track_id
1,18259.0,38.67544772440988,395.34344706719975,10773.11484747248,0,0.0
6009,4371.0,151.45893388240677,859.5618851521391,14681.198810340884,0,1.0
26649,2049.0,470.6715470961445,80.42264519277697,10857.823328452903,0,2.0
27170,3062.0,484.5222077073808,247.3628347485304,11355.464402351405,0,3.0
34915,7841.0,685.3915316923861,402.10929728350976,11122.564978956763,0,4.0
41931,2740.0,734.4835766423357,240.64014598540143,11931.655474452557,0,5.0
43017,6136.0,783.5511734028684,847.6285853976532,10201.199478487611,0,6.0
44853,768.0,780.90625,34.7734375,11186.333333333334,0,7.0
1,17975.0,39.94247566063978,396.49001390820587,10634.304089012518,1,0.0
5806,4240.0,155.7629716981132,860.5964622641509,14247.305660377358,1,1.0
27141,1872.0,471.4294871794872,81.03846153846153,10736.136752136752,1,2.0
28556,3299.0,512.1136708093362,255.67687177932703,10790.101242800847,1,3.0
35598,6893.0,667.7210213259829,414.3397649789642,11277.815755113885,1,4.0
43162,2312.0,731.1349480968859,246.8347750865052,12241.937716262975,1,5.0
44445,5372.0,781.8380491437081,836.6969471332837,10129.965748324646,1,6.0
46967,913.0,797.5629791894852,27.76560788608981,9999.141292442497,1,7.0
1,18367.0,38.63194860347362,403.4925681929548,10677.626612947131,2,0.0
6451,4375.0,159.83794285714285,860.7213714285714,14285.911771428571,2,1.0
25986,2123.0,471.58502119642014,81.68487988695243,10618.3928403203,2,2.0
28773,3276.0,537.9505494505495,262.5576923076923,11093.333333333334,2,3.0
32678,7300.0,651.6753424657534,419.6034246575342,11301.172602739724,2,4.0
41330,2426.0,731.323165704864,226.74855729596044,12216.666117065128,2,5.0
42325,5865.0,782.5041773231031,849.3413469735721,10041.572719522592,2,6.0
45235,725.0,793.9213793103448,31.544827586206896,9916.204137931034,2,7.0
1,16660.0,45.22701080432173,390.5099639855943,10959.550540216089,3,0.0
6958,3997.0,165.67200400300226,859.1528646484863,15238.75706780085,3,1.0
28187,1958.0,476.7691521961185,76.73697650663942,10858.034729315628,3,2.0
34475,6819.0,643.4597448306204,421.4538788678692,11623.42865522804,3,4.0
36900,2367.0,616.6620194338825,293.1922264469793,12669.025771018169,3,8.0
44979,2219.0,731.2487607030193,224.29562866155925,12808.421811626858,3,5.0
46773,4924.0,784.2331437855402,837.9679122664501,10313.826157595451,3,6.0
1,19723.0,44.85311565177711,404.302540181514,10562.910713380315,4,0.0
7194,4549.0,166.90767201582764,859.3187513739283,13879.769619696635,4,1.0
26305,2243.0,484.2951404369148,80.30940704413732,10359.953633526527,4,2.0
31174,7720.0,644.8623056994819,430.7458549222798,11075.017616580311,4,4.0
32715,3092.0,625.3521992238034,293.67658473479946,11240.238033635187,4,8.0
40062,2375.0,732.3962105263158,209.928,12106.698105263158,4,5.0
42229,517.0,767.2205029013539,283.76015473887816,9756.224371373308,4,9.0
42255,5613.0,787.4968822376626,838.3889185818635,9947.695706395867,4,6.0
1,15991.0,48.25176661872303,403.2999187042712,10761.941592145582,5,0.0
414,2060.0,67.34708737864078,398.75970873786406,12398.601941747573,5,10.0
7094,4784.0,169.6523829431438,862.5405518394649,13855.946488294314,5,1.0
27957,2006.0,479.1939182452642,75.46709870388834,10655.393818544368,5,2.0
32782,7152.0,639.278803131991,433.4509228187919,11501.24384787472,5,4.0
33972,2864.0,631.3076117318436,294.9448324022346,11763.932960893855,5,8.0
43978,2098.0,733.0962821734986,197.7650142993327,13040.991420400382,5,5.0
46007,4275.0,785.4336842105263,843.682105263158,10403.540584795324,5,6.0
1,17624.0,50.62193599636859,406.57007489786656,10513.968225147526,6,0.0
1138,2031.0,81.9123584441162,382.3722304283604,12361.106843919251,6,10.0
6345,5154.0,172.27745440434614,866.6348467209934,13437.069460613116,6,1.0
25891,2365.0,482.0443974630021,77.71247357293869,10326.163213530655,6,2.0
29817,7945.0,635.8263058527376,437.7056010069226,11172.104216488358,6,4.0
32770,3268.0,649.6003671970624,302.63555691554467,11419.887392900857,6,8.0
40551,2030.0,742.8487684729064,169.264039408867,13194.845320197044,6,5.0
41463,4828.0,790.0410107705054,849.5258906379453,10150.018227009114,6,6.0
1,18063.0,51.327686430825445,415.31749986159554,10406.230637214196,7,0.0
1452,2383.0,93.5312631137222,382.24213176668064,11799.741502308016,7,10.0
6432,4912.0,168.9415716612378,870.0962947882737,13461.680781758958,7,1.0
25681,2292.0,480.2787958115183,75.0541012216405,10260.998254799302,7,2.0
28829,7261.0,627.305467566451,437.2746178212368,11338.109902217326,7,4.0
33372,3312.0,669.5452898550725,309.2826086956522,11234.3961352657,7,8.0
41066,1542.0,742.4461738002594,157.16601815823606,14501.686121919583,7,5.0
42253,4271.0,790.412549754156,853.4427534535238,10102.979161788808,7,6.0
43337,740.0,798.1378378378379,972.2891891891892,9686.486486486489,7,11.0
1,15234.0,57.16692923723251,405.5106341079165,10757.478272285676,8,0.0
2336,2114.0,97.20766319772942,384.0558183538316,12445.547776726584,8,10.0
6620,4379.0,163.4864124229276,873.7200274035168,14502.32107787166,8,1.0
27920,2094.0,480.8247373447946,80.38013371537727,10569.96370582617,8,2.0
31067,7028.0,620.2342060330108,438.4560330108139,11691.674445076836,8,4.0
39296,2745.0,680.5282331511839,312.26120218579234,11927.641530054643,8,8.0
45354,2239.0,737.621706118803,193.03662349263064,12516.444841447075,8,5.0
46311,538.0,758.1524163568773,301.69702602230484,10021.115241635687,8,12.0
47355,3919.0,794.1043633579995,854.9971931615208,10311.985710640469,8,6.0
1,15151.0,56.38472708072074,408.3803709326117,10736.674806943436,9,0.0
4735,2026.0,120.2862783810464,404.5903257650543,12809.097729516288,9,10.0
6062,2889.0,141.69989615784007,876.914157147802,17783.71478020076,9,1.0
28104,2047.0,482.3957010258915,83.68246213971666,10384.94577430386,9,2.0
31187,6688.0,610.9258373205741,432.5965909090909,11707.942583732058,9,4.0
40526,5158.0,711.8573090345095,264.8805738658395,11976.56145792943,9,8.0
48339,3538.0,795.8564160542679,853.6718485019785,10329.867721876766,9,6.0
50289,909.0,815.4158415841584,946.7579757975798,9832.48404840484,9,13.0
1,17464.0,51.41221942281264,412.1600435180944,10436.089784699954,10,0.0
3206,2581.0,116.32545524990314,409.57690817512594,11679.789228981015,10,10.0
4952,3766.0,141.28412108337758,881.6404673393521,15297.2575677111,10,1.0
26422,2285.0,490.2984682713348,92.32603938730854,10163.25601750547,10,2.0
28046,7439.0,603.9158489044227,433.21992203253126,11407.606398709504,10,4.0
37083,3595.0,721.035883171071,293.56189151599443,11010.136300417244,10,8.0
41975,983.0,749.1607324516785,128.9175991861648,19529.44048830112,10,14.0
43344,4981.0,800.0833166030917,863.7006625175668,10075.329451917283,10,6.0
1,16913.0,51.18512386921303,408.94832377461125,10612.33749187016,11,0.0
3249,2907.0,114.68489852081184,419.5686274509804,11446.555211558309,11,10.0
4232,4755.0,139.28243953732914,878.7337539432177,13848.550157728709,11,1.0
26995,2318.0,502.0974978429681,107.97670405522,10329.014667817084,11,2.0
27586,7989.0,599.3596194767806,432.3979221429465,11390.990612091626,11,4.0
38134,3771.0,754.0803500397773,280.9215062317688,10898.838504375495,11,8.0
43209,1537.0,757.6688353936239,117.62654521795706,15186.279765777488,11,14.0
44228,4818.0,802.0641344956414,869.5693233706933,10152.328767123288,11,6.0
45954,1072.0,814.8610074626865,145.48787313432837,10782.567164179103,11,15.0
1,17025.0,43.66525697503671,419.1785022026432,10463.41544787078,12,0.0
2091,2749.0,110.93415787559113,422.1011276827937,11297.524918152056,12,10.0
3863,5159.0,136.92731149447567,878.2227175809265,12899.690637720489,12,1.0
26479,2186.0,509.4752973467521,116.8124428179323,10603.271729185728,12,2.0
27076,6548.0,561.5920891875381,401.8817959682346,11444.583995113013,12,4.0
40225,1302.0,742.8924731182796,572.3425499231951,9851.084485407066,12,16.0
41852,3120.0,786.1852564102564,267.74134615384617,11013.661538461538,12,8.0
43361,1502.0,766.4107856191745,100.90213049267643,14495.190412782957,12,14.0
44515,4485.0,803.8499442586399,870.7411371237458,10137.828316610923,12,6.0
45163,1514.0,810.2278731836195,161.10501981505945,10384.739762219288,12,15.0
1,15157.0,44.50498119680675,409.5850102262981,10939.08926568582,13,0.0
1767,2583.0,113.43979868370111,427.1602787456446,11717.525358110724,13,10.0
3954,4888.0,136.63052373158757,876.5566693944354,13401.662847790509,13,1.0
27965,2081.0,510.7308986064392,119.5968284478616,10790.2585295531,13,2.0
28394,5838.0,554.5291195614936,399.7610483042138,12052.82905104488,13,4.0
44264,1063.0,745.3969896519285,574.6556914393227,10152.820319849485,13,16.0
46852,2095.0,767.3570405727924,111.9565632458234,12725.582816229116,13,14.0
46935,4078.0,801.5777341834232,228.2584600294262,11103.105443845025,13,8.0
48523,4025.0,804.7746583850932,878.2330434782609,10478.064099378882,13,6.0
1,15922.0,46.30630574048487,413.5864213038563,10845.624419042832,14,0.0
1793,2574.0,108.54118104118103,434.5205905205905,11863.819735819736,14,10.0
2999,5181.0,131.72707971434087,875.5614746187995,13311.30824165219,14,1.0
27401,7469.0,576.1182219842013,422.6797429374749,11795.296826884456,14,4.0
28049,2081.0,502.7438731379145,114.71888515136952,10854.473810667949,14,2.0
44720,2950.0,789.0054237288135,263.924406779661,11199.002033898303,14,8.0
46293,2450.0,768.0714285714286,113.3391836734694,12024.99918367347,14,14.0
47525,1924.0,809.5233887733888,174.1751559251559,10830.636174636174,14,17.0
47702,4056.0,806.4437869822485,890.051775147929,10523.708086785007,14,6.0
1,20065.0,47.65676551208572,425.2444555195614,10618.430899576377,15,0.0
2988,5779.0,126.73680567572244,874.0885966430178,12321.7996193113,15,1.0
24331,2383.0,487.832144355854,112.86613512379354,10175.43600503567,15,2.0
25066,7351.0,549.5539382396953,400.7067065705346,11334.41654196708,15,4.0
38577,3467.0,780.5347562734353,266.990193250649,10727.41159503894,15,8.0
40197,1087.0,756.3615455381785,591.1343146274149,9816.551977920884,15,18.0
41842,1331.0,772.7648384673178,59.28174305033809,15741.788129226146,15,14.0
42958,1678.0,806.7550655542312,179.77294398092968,9976.9821215733,15,17.0
43451,4162.0,806.5941854877462,903.011052378664,10255.807784718883,15,6.0
1,17531.0,43.110261821915465,427.6822200673093,10943.704295248415,16,0.0
2549,5500.0,120.10490909090908,870.0949090909091,12764.253090909093,16,1.0
25978,6171.0,522.9188138065143,382.2421001458434,12104.4316966456,16,4.0
27291,2325.0,495.7161290322581,101.56,10412.8688172043,16,2.0
44343,3139.0,784.2777954762663,267.5702453010513,11112.553042370182,16,8.0
46319,1440.0,783.0215277777778,63.49097222222223,15085.866666666669,16,14.0
46361,684.0,771.6944444444445,619.0058479532164,9856.0,16,18.0
47052,1784.0,802.228139013453,177.6121076233184,10332.125560538116,16,17.0
48216,3748.0,807.0416221985058,919.6176627534684,10450.100320170755,16,6.0
49474,767.0,820.7053455019557,126.9947848761408,11584.750977835723,16,19.0
1,17015.0,39.018571848369085,438.3047898912724,10905.584954451951,17,0.0
2156,5448.0,115.53102055800294,867.6136196769456,12730.784140969165,17,1.0
25347,6077.0,512.4816521309857,376.6154352476551,12075.516208655588,17,4.0
27421,2354.0,498.3993203058624,95.76677994902292,10343.53101104503,17,2.0
46064,2987.0,787.2718446601941,267.18680950786745,11088.819551389352,17,8.0
46150,872.0,765.2866972477065,613.769495412844,9933.504587155963,17,18.0
46437,1710.0,776.1637426900585,52.7327485380117,13899.00350877193,17,14.0
47108,3912.0,796.7799079754601,151.11528629856852,10787.010224948875,17,17.0
48840,3415.0,807.2213762811127,932.6234260614934,10521.187701317716,17,6.0
1,17492.0,34.98330665447062,442.6714498056255,10793.842213583352,18,0.0
1744,5487.0,113.48387096774194,868.808456351376,12576.61235647895,18,1.0
24242,6393.0,509.2300954168622,373.8545283904271,11874.507742843736,18,4.0
26820,2246.0,496.1019590382903,91.7373107747106,10394.215494211932,18,2.0
43590,3138.0,781.561822817081,269.9949012109624,11039.163798597832,18,8.0
44884,1547.0,769.0071105365223,103.56367162249516,11436.431803490626,18,14.0
45654,765.0,766.4418300653595,612.0823529411765,9865.871895424836,18,18.0
45932,2001.0,774.7056471764118,52.32283858070964,12008.33183408296,18,20.0
45940,2819.0,793.8403689251508,183.5895707697765,10268.333451578574,18,17.0
47838,2572.0,805.3845256609642,960.7566096423016,10944.497667185067,18,6.0
1,17814.0,32.57971258560683,451.4324127091052,10873.561917592904,19,0.0
1625,6093.0,103.830789430494,864.8163466272772,12650.299031675691,19,1.0
22644,6934.0,495.7202192096914,366.2679550043265,11989.062590135563,19,4.0
27049,2373.0,498.4955752212389,86.30299199325748,10666.019384745048,19,2.0
40762,6689.0,781.5301240843175,231.38182089998503,10843.660935864851,19,8.0
42138,1414.0,747.6032531824611,104.31541725601132,11844.79773691655,19,14.0
42488,2462.0,765.4699431356621,46.312753858651504,11611.91876523152,19,20.0
43246,901.0,768.2053274139845,616.4472807991121,10000.195338512764,19,18.0
46086,2027.0,811.3650715342872,964.4829797730636,11029.849037987173,19,6.0
1,19202.0,28.10738464743256,465.4192792417456,10335.190084366212,20,0.0
884,6145.0,101.1879576891782,862.3370219690805,12112.320260374288,20,1.0
20747,7091.0,486.1631645748132,362.6182484839938,11486.38894373149,20,4.0
26809,2316.0,502.6804835924007,78.21891191709845,10244.863557858376,20,2.0
35046,1437.0,673.4516353514266,100.3500347947112,10793.686847599163,20,14.0
36657,3829.0,749.2392269522069,277.43562287803604,10834.90415252024,20,8.0
39482,2332.0,748.1779588336192,37.52358490566038,11517.255574614066,20,20.0
40374,1320.0,773.7719696969697,625.0613636363636,9664.0,20,18.0
40469,3898.0,785.663930220626,189.4135454079015,10281.506413545409,20,21.0
42747,2368.0,810.3606418918919,957.5253378378378,10258.162162162162,20,6.0
1,17650.0,28.11773371104816,461.0320679886685,10580.646798866856,21,0.0
1574,5739.0,103.5502700818958,856.8051925422548,12698.74194110472,21,1.0
21220,6442.0,470.9501707544241,355.9126047811239,12001.003415088482,21,4.0
28658,2247.0,504.4272363150868,74.05963506898087,10495.886070315975,21,2.0
35626,1659.0,619.2380952380952,68.01084990958408,10541.058468957202,21,14.0
38664,3670.0,733.1980926430517,279.3910081743869,11199.686103542232,21,8.0
42579,2346.0,762.4138959931798,41.69650468883206,11759.522591645356,21,20.0
44517,3556.0,790.287120359955,198.1375140607424,10737.745781777276,21,21.0
45090,840.0,782.0357142857143,636.2892857142857,9968.761904761905,21,18.0
46627,2157.0,809.7190542420028,956.9837737598516,10344.797403801576,21,6.0
1,19511.0,29.256265696273896,467.8514684024397,10341.161396135512,22,0.0
1354,7064.0,101.2140430351076,851.876557191393,11999.8550396376,22,1.0
17801,7140.0,463.52717086834735,355.07254901960783,11777.54173669468,22,4.0
25295,2709.0,502.46327057954966,74.94721299372462,10218.170542635658,22,2.0
31513,1669.0,630.1210305572199,26.10904733373277,10655.213900539246,22,14.0
32514,4698.0,712.9942528735633,286.1306939123031,10834.3908045977,22,8.0
37280,2047.0,773.8729848558867,41.63263312164143,12538.872496336102,22,20.0
37795,4286.0,784.4034064395707,199.07209519365367,10518.577694820346,22,21.0
37912,1475.0,772.4040677966102,623.391186440678,9612.583050847456,22,18.0
40124,2090.0,809.5435406698565,961.3631578947368,10049.408612440193,22,6.0
1,15962.0,20.724282671344444,475.3595414108508,10032.547299837111,23,0.0
404,2799.0,63.69239013933548,417.1289746337978,10818.400857449087,23,22.0
1170,6676.0,102.24325943678848,849.1235769922109,11768.714200119832,23,1.0
10691,1171.0,226.50213492741247,977.3450042698548,10861.96413321947,23,23.0
16568,7403.0,455.4282047818452,351.9057138997704,11327.524517087668,23,4.0
25733,2487.0,502.0812223562525,72.01970245275432,10054.407720144753,23,2.0
31575,1440.0,620.9138888888889,13.781944444444443,11366.933333333332,23,14.0
31931,4569.0,687.1470781352593,293.3928649595097,10595.004596191728,23,8.0
36959,1861.0,734.2955400322408,48.89145620634068,13261.652874798496,23,20.0
37804,4330.0,778.8122401847575,199.38290993071595,10247.449422632795,23,21.0
37866,1310.0,758.9992366412214,601.2213740458016,9541.764885496184,23,18.0
41676,1490.0,814.4134228187919,962.6174496644296,9889.159731543625,23,6.0
1,13598.0,20.148404177084867,481.7752610678041,10313.102515075749,24,0.0
1041,3043.0,67.41406506736773,406.7804797896813,11065.038448899111,24,22.0
1822,6644.0,103.10310054184228,844.5742022877785,12129.521974714027,24,1.0
11625,1588.0,250.76637279596977,976.824307304786,10980.916876574309,24,23.0
16689,7163.0,450.9117688119503,347.88356833728886,11842.76085439062,24,4.0
28464,2679.0,505.6088092571855,64.24113475177305,10362.50541246734,24,2.0
32099,788.0,567.2664974619289,8.777918781725889,11127.878172588831,24,14.0
34585,3795.0,655.6218708827405,300.4505928853755,11180.15072463768,24,8.0
41139,1492.0,711.5207774798928,60.0402144772118,15377.844504021448,24,20.0
42834,4232.0,777.1613894139887,205.10373345935727,10635.372400756143,24,21.0
44368,825.0,770.939393939394,621.5466666666666,9920.69818181818,24,18.0
